elapsed_s,cpu_temp_c,cpu_freq_mhz,cpu_util_pct,cpu_power_w,batches_per_s
390,67.3,4200,100,96.9,410.67
395,67.0,4200,100,98.6,412.67
400,67.2,4200,100,91.4,407.76
405,67.7,4200,100,95.4,407.13
410,66.6,4200,100,94.4,412.06
415,67.3,4200,100,97.0,407.55
420,67.7,4200,100,94.0,409.1
425,68.2,4200,100,95.1,409.58
430,67.0,4200,100,94.2,414.68
435,68.0,4200,100,96.4,410.55
440,67.9,4200,100,94.8,411.36
445,67.5,4200,100,95.2,414.95
450,68.3,4200,100,97.6,404.26
455,68.4,4200,100,96.4,408.65
460,67.3,4200,100,97.3,413.52
465,67.9,4200,100,95.3,410.11
470,67.9,4200,100,94.8,407.31
475,67.1,4200,100,94.7,411.0
480,68.8,4200,100,92.3,411.43
485,67.4,4200,100,95.6,414.06
490,68.2,4200,100,94.7,408.33
495,66.7,4200,100,94.9,413.74
500,67.4,4200,100,96.4,412.12
505,67.8,4200,100,97.2,409.66
510,67.1,4200,100,92.7,412.78
515,67.4,4200,100,94.4,412.5
520,67.1,4200,100,98.5,412.0
525,67.3,4200,100,93.7,413.25
530,66.9,4200,100,93.7,410.02
535,67.8,4200,100,95.0,411.16
540,67.4,4200,100,94.8,413.8
545,68.1,4200,100,94.1,415.14
550,66.5,4200,100,95.2,412.0
555,68.3,4200,100,95.2,408.85
560,68.1,4200,100,94.6,411.42
565,66.0,4200,100,95.8,407.63
570,68.3,4200,100,96.5,412.19
575,67.5,4200,100,95.9,408.97
580,67.9,4200,100,94.7,407.39
585,69.0,4200,100,96.4,403.83
590,68.3,4200,100,92.2,409.3
595,67.4,4200,100,93.9,410.72
600,67.6,4200,100,92.1,409.98
605,68.0,4200,100,98.5,408.76
610,67.1,4200,100,94.2,411.96
615,67.3,4200,100,93.6,411.66
620,67.8,4200,100,95.4,408.11
625,67.3,4200,100,94.4,409.54
630,67.6,4200,100,95.9,411.64
635,68.2,4200,100,96.0,407.34
640,67.2,4200,100,96.6,410.04
645,67.9,4200,100,92.7,409.37
650,67.5,4200,100,93.3,408.11
655,67.0,4200,100,95.2,413.5
660,67.5,4200,100,95.2,406.72
665,68.3,4200,100,98.7,406.3
670,67.8,4200,100,97.8,411.1
675,68.0,4200,100,90.9,409.55
680,68.4,4200,100,97.9,411.92
685,67.6,4200,100,93.6,404.54
690,67.3,4200,100,97.2,409.66
695,67.1,4200,100,97.6,404.98
700,68.7,4200,100,94.4,411.02
705,68.3,4200,100,95.5,413.81
710,67.9,4200,100,94.3,408.01
715,67.1,4200,100,93.6,412.95
720,68.4,4200,100,97.8,418.18
725,68.4,4200,100,96.0,406.06
730,67.8,4200,100,99.4,411.59
735,67.9,4200,100,95.6,404.31
740,67.4,4200,100,92.4,403.59
745,68.4,4200,100,96.9,409.47
750,68.1,4200,100,93.0,411.36
755,68.4,4200,100,98.1,414.68
760,68.2,4200,100,94.7,407.52
765,67.6,4200,100,96.2,411.7
770,68.0,4200,100,98.3,411.95
775,68.0,4200,100,94.6,410.23
780,67.4,4200,100,93.0,411.04
785,67.6,4200,100,94.5,413.66
790,67.8,4200,100,97.6,409.97
795,68.9,4200,100,95.9,404.72
800,68.7,4200,100,94.6,404.11
805,68.0,4200,100,95.3,406.13
810,67.6,4200,100,96.1,414.24
815,68.7,4200,100,97.4,413.36
820,66.5,4200,100,93.5,410.56
825,66.4,4200,100,96.5,412.67
830,67.5,4200,100,94.2,407.18
835,68.0,4200,100,94.9,409.98
840,67.4,4200,100,95.8,408.98
845,68.5,4200,100,95.6,405.55
850,67.1,4200,100,95.1,408.54
855,68.3,4200,100,96.6,410.06
860,67.0,4200,100,92.6,411.72
865,67.3,4200,100,97.2,409.73
870,68.3,4200,100,93.2,409.7
875,66.2,4200,100,94.6,411.72
880,67.4,4200,100,93.3,409.84
885,68.0,4200,100,93.4,412.03
890,67.0,4200,100,97.2,405.79
895,67.5,4200,100,97.7,407.02
900,67.0,4200,100,95.2,407.24
905,67.3,4200,100,93.6,407.77
910,67.4,4200,100,92.9,414.84
915,67.6,4200,100,96.9,405.78
920,68.3,4200,100,92.5,408.62
925,68.4,4200,100,93.9,404.11
930,67.7,4200,100,94.7,411.72
935,67.4,4200,100,94.4,410.19
940,67.0,4200,100,94.8,407.52
945,68.3,4200,100,94.8,409.5
950,66.5,4200,100,94.8,408.89
955,67.4,4200,100,94.0,406.21
960,68.1,4200,100,96.3,411.79
965,67.7,4200,100,98.4,412.56
970,67.4,4200,100,94.7,405.11
975,67.9,4200,100,96.4,413.81
980,67.7,4200,100,91.4,409.49
985,68.8,4200,100,95.3,413.83
990,68.5,4200,100,98.1,411.8
995,67.6,4200,100,95.9,417.61
1000,67.7,4200,100,91.3,416.31
1005,68.2,4200,100,93.7,408.18
1010,67.1,4200,100,96.4,410.43
1015,67.6,4200,100,94.2,408.72
1020,68.6,4200,100,94.6,414.14
1025,67.5,4200,100,93.8,408.55
1030,67.7,4200,100,94.8,413.08
1035,68.7,4200,100,92.9,413.83
1040,68.1,4200,100,98.2,409.5
1045,67.5,4200,100,96.6,411.87
1050,67.7,4200,100,95.0,410.39
1055,68.2,4200,100,91.6,406.38
1060,68.0,4200,100,95.5,408.43
1065,66.9,4200,100,97.7,409.08
1070,67.4,4200,100,98.2,413.4
1075,68.6,4200,100,96.7,411.71
1080,67.4,4200,100,95.1,411.07
1085,68.4,4200,100,96.0,406.98
1090,67.6,4200,100,94.3,409.41
1095,67.5,4200,100,91.4,406.35
1100,68.2,4200,100,95.0,411.74
1105,66.9,4200,100,94.2,412.67
1110,66.8,4200,100,92.8,405.0
1115,68.7,4200,100,95.1,408.28
1120,68.1,4200,100,94.8,412.71
1125,68.7,4200,100,96.8,411.03
1130,68.5,4200,100,96.6,413.5
1135,66.9,4200,100,95.7,410.23
1140,68.1,4200,100,94.5,409.78
1145,68.3,4200,100,95.4,410.38
1150,67.4,4200,100,92.5,407.76
1155,66.9,4200,100,94.0,407.45
1160,66.9,4200,100,91.1,408.59
1165,67.7,4200,100,99.3,412.59
1170,67.5,4200,100,94.0,406.97
1175,67.5,4200,100,94.3,409.85
1180,67.6,4200,100,96.6,411.93
1185,69.2,4200,100,92.4,412.03
1190,67.8,4200,100,91.8,409.1
1195,67.0,4200,100,94.9,418.21
1200,68.8,4200,100,98.6,413.58
1205,67.1,4200,100,95.8,410.43
1210,68.3,4200,100,92.9,404.05
1215,69.3,4200,100,97.4,410.92
1220,67.7,4200,100,95.4,406.28
1225,68.6,4200,100,95.3,409.55
1230,67.7,4200,100,94.9,410.4
1235,67.8,4200,100,96.9,410.63
1240,67.9,4200,100,93.3,413.65
1245,68.8,4200,100,96.4,404.47
1250,67.8,4200,100,97.0,410.11
1255,68.8,4200,100,94.1,412.39
1260,68.3,4200,100,90.1,408.78
1265,67.9,4200,100,93.7,407.32
1270,69.0,4200,100,94.8,412.37
1275,67.2,4200,100,90.8,408.58
1280,68.2,4200,100,93.6,411.59
1285,68.5,4200,100,94.1,409.82
1290,67.6,4200,100,97.2,415.31
1295,68.3,4200,100,94.0,407.88
1300,67.8,4200,100,96.8,407.73
1305,68.9,4200,100,92.6,409.98
1310,68.8,4200,100,98.6,408.78
1315,68.5,4200,100,100.1,413.5
1320,66.7,4200,100,95.6,417.13
1325,67.3,4200,100,96.8,403.74
1330,69.0,4200,100,93.3,412.42
1335,68.5,4200,100,89.4,405.71
1340,68.2,4200,100,92.0,409.94
1345,67.4,4200,100,97.7,408.47
1350,67.5,4200,100,96.3,413.67
1355,67.9,4200,100,95.6,411.48
1360,67.7,4200,100,92.6,411.6
1365,67.8,4200,100,92.3,412.57
1370,68.3,4200,100,95.3,407.74
1375,67.9,4200,100,96.2,411.45
1380,67.5,4200,100,93.2,411.03
1385,68.1,4200,100,96.7,406.53
1390,68.6,4200,100,98.5,412.85
1395,68.1,4200,100,96.8,406.14
1400,67.7,4200,100,99.1,405.1
1405,67.3,4200,100,96.6,408.03
1410,67.7,4200,100,92.8,415.05
1415,67.6,4200,100,94.4,404.56
1420,68.5,4200,100,95.0,411.5
1425,68.9,4200,100,95.3,406.42
1430,67.4,4200,100,95.2,413.96
1435,67.3,4200,100,94.5,409.56
1440,68.4,4200,100,93.2,410.94
1445,68.5,4200,100,94.9,409.71
1450,68.4,4200,100,96.2,413.78
1455,67.4,4200,100,97.5,409.31
1460,67.3,4200,100,93.9,406.3
1465,67.9,4200,100,97.1,403.25
1470,67.3,4200,100,96.5,409.1
1475,68.5,4200,100,92.3,409.84
1480,66.4,4200,100,93.3,412.22
1485,68.7,4200,100,98.3,409.83
1490,67.5,4200,100,94.2,404.25
1495,68.8,4200,100,97.4,407.27
1500,69.1,4200,100,92.3,411.68
1505,67.5,4200,100,91.5,411.19
1510,67.3,4200,100,97.4,407.3
1515,68.1,4200,100,94.0,410.41
1520,67.6,4200,100,96.6,411.83
1525,68.0,4200,100,94.7,415.91
1530,67.6,4200,100,94.1,412.32
1535,68.0,4200,100,91.7,409.57
1540,67.8,4200,100,93.0,410.58
1545,67.3,4200,100,94.5,406.59
1550,68.9,4200,100,94.4,411.33
1555,68.2,4200,100,96.4,409.55
1560,68.5,4200,100,95.2,402.66
1565,68.2,4200,100,92.4,412.85
1570,68.1,4200,100,94.3,402.43
1575,66.7,4200,100,92.6,408.86
1580,67.2,4200,100,99.0,411.37
1585,67.9,4200,100,93.0,408.98
1590,67.9,4200,100,94.1,409.77
1595,68.5,4200,100,91.5,410.68
1600,68.7,4200,100,92.3,409.43
1605,67.8,4200,100,92.7,412.85
1610,67.8,4200,100,97.3,411.23
1615,67.8,4200,100,95.6,408.87
1620,67.0,4200,100,97.8,411.1
1625,68.7,4200,100,91.4,413.14
1630,68.5,4200,100,94.9,403.64
1635,68.1,4200,100,93.7,409.42
1640,68.0,4200,100,93.2,409.61
1645,68.0,4200,100,97.9,409.7
1650,69.4,4200,100,92.6,409.59
1655,68.7,4200,100,91.9,411.86
1660,68.2,4200,100,93.8,409.28
1665,68.9,4200,100,94.1,410.84
1670,68.3,4200,100,97.4,403.8
1675,67.1,4200,100,92.3,409.16
1680,68.4,4200,100,96.7,409.14
1685,68.9,4200,100,94.9,412.07
1690,67.5,4200,100,96.7,407.84
1695,68.7,4200,100,96.7,415.61
1700,67.7,4200,100,92.7,412.49
1705,68.2,4200,100,93.9,405.98
1710,68.5,4200,100,91.1,408.6
1715,68.6,4200,100,94.5,411.38
1720,68.3,4200,100,96.2,413.18
1725,68.4,4200,100,94.2,406.31
1730,67.8,4200,100,93.7,411.21
1735,68.7,4200,100,96.6,407.91
1740,68.1,4200,100,95.0,408.59
1745,68.8,4200,100,96.2,411.08
1750,67.3,4200,100,89.7,407.8
1755,68.7,4200,100,94.6,409.93
1760,67.8,4200,100,96.0,409.97
1765,69.0,4200,100,94.8,409.21
1770,68.9,4200,100,96.5,412.09
1775,68.3,4200,100,94.9,410.95
1780,68.3,4200,100,95.2,404.36
1785,68.8,4200,100,94.0,408.29
1790,67.8,4200,100,93.6,407.37
1795,67.9,4200,100,96.8,409.11
1800,68.3,4200,100,92.3,412.27
1805,67.3,4200,100,96.4,407.78
1810,67.6,4200,100,92.5,406.19
1815,67.9,4200,100,93.0,409.33
1820,68.7,4200,100,93.3,409.05
1825,67.9,4200,100,93.8,409.9
1830,68.1,4200,100,97.1,407.82
1835,67.9,4200,100,94.7,413.66
1840,67.4,4200,100,95.3,412.31
1845,68.4,4200,100,93.6,406.9
1850,66.9,4200,100,93.9,409.24
1855,67.1,4200,100,96.7,410.49
1860,67.9,4200,100,93.9,411.42
1865,67.8,4200,100,96.0,408.56
1870,68.6,4200,100,91.7,406.78
1875,69.1,4200,100,97.1,414.92
1880,67.5,4200,100,96.5,413.0
1885,68.5,4200,100,94.6,414.41
1890,68.2,4200,100,92.4,417.39
1895,68.1,4200,100,97.5,407.92
1900,67.4,4200,100,96.8,412.47
1905,67.6,4200,100,95.5,406.01
1910,66.8,4200,100,97.2,406.57
1915,68.4,4200,100,97.1,411.11
1920,68.9,4200,100,95.7,410.88
1925,68.0,4200,100,95.8,411.06
1930,67.4,4200,100,94.9,408.87
1935,69.7,4200,100,97.5,407.63
1940,68.4,4200,100,91.5,410.17
1945,69.1,4200,100,95.2,413.85
1950,67.8,4200,100,95.9,411.12
1955,66.7,4200,100,93.4,415.69
1960,67.5,4200,100,97.4,415.16
1965,68.0,4200,100,97.0,411.1
1970,67.6,4200,100,96.2,411.31
1975,67.4,4200,100,94.1,405.96
1980,67.8,4200,100,94.9,407.06
1985,66.9,4200,100,96.3,413.8
1990,67.5,4200,100,95.1,407.99
1995,66.4,4200,100,99.2,410.87
2000,67.2,4200,100,97.5,412.17
2005,68.8,4200,100,96.5,411.59
2010,68.9,4200,100,94.5,410.72
2015,67.3,4200,100,92.7,410.63
2020,68.1,4200,100,91.8,411.12
2025,68.6,4200,100,92.5,408.98
2030,69.0,4200,100,93.3,411.71
2035,68.5,4200,100,95.4,410.44
2040,68.3,4200,100,95.6,410.45
2045,67.1,4200,100,95.5,407.64
2050,68.9,4200,100,99.4,413.34
2055,66.7,4200,100,97.0,410.36
2060,67.3,4200,100,92.6,413.18
2065,67.6,4200,100,94.8,410.2
2070,68.6,4200,100,89.6,413.69
2075,67.5,4200,100,94.2,411.85
2080,68.2,4200,100,90.4,411.81
2085,67.9,4200,100,92.9,408.16
2090,67.0,4200,100,96.6,414.43
2095,67.6,4200,100,94.1,405.63
2100,67.6,4200,100,93.0,410.07
2105,69.0,4200,100,97.1,412.93
2110,67.4,4200,100,96.7,407.84
2115,67.5,4200,100,96.5,409.7
2120,69.5,4200,100,95.4,409.08
2125,68.4,4200,100,92.7,412.04
2130,68.9,4200,100,94.7,408.46
2135,68.7,4200,100,92.8,411.12
2140,67.7,4200,100,95.6,407.64
2145,68.4,4200,100,96.1,415.27
2150,67.8,4200,100,95.9,404.71
2155,67.5,4200,100,95.5,405.89
2160,67.9,4200,100,93.2,411.44
2165,68.4,4200,100,94.1,411.97
2170,67.7,4200,100,95.2,411.56
2175,68.3,4200,100,96.2,415.09
2180,67.6,4200,100,94.7,404.51
2185,68.5,4200,100,92.8,408.21
2190,67.7,4200,100,95.8,409.15
2195,67.8,4200,100,95.2,408.99
2200,68.0,4200,100,93.0,408.35
2205,67.3,4200,100,96.7,412.71
2210,68.4,4200,100,95.7,408.19
2215,68.3,4200,100,91.9,402.49
2220,67.3,4200,100,98.0,410.73
2225,68.9,4200,100,93.6,413.04
2230,69.0,4200,100,97.0,410.86
2235,68.6,4200,100,94.1,415.29
2240,67.3,4200,100,93.5,410.07
2245,67.5,4200,100,98.5,412.02
2250,67.6,4200,100,98.4,414.07
2255,67.8,4200,100,98.1,413.56
2260,67.7,4200,100,93.9,410.93
2265,68.7,4200,100,98.1,414.51
2270,67.7,4200,100,91.4,404.94
2275,68.9,4200,100,97.1,413.55
2280,68.0,4200,100,95.2,411.46
2285,68.3,4200,100,95.2,407.09
2290,67.2,4200,100,95.3,409.53
2295,68.9,4200,100,92.9,404.04
2300,66.8,4200,100,94.9,415.03
2305,67.8,4200,100,93.6,411.14
2310,68.9,4200,100,97.2,412.64
2315,68.6,4200,100,94.4,410.26
2320,68.2,4200,100,98.6,403.38
2325,67.7,4200,100,95.7,409.27
2330,67.9,4200,100,94.5,407.14
2335,68.3,4200,100,97.6,408.92
2340,68.3,4200,100,97.2,408.03
2345,67.9,4200,100,92.4,414.74
2350,69.0,4200,100,94.6,415.99
2355,68.5,4200,100,91.3,411.47
2360,68.2,4200,100,96.0,412.05
2365,67.7,4200,100,97.3,410.95
2370,69.1,4200,100,94.8,402.48
2375,69.1,4200,100,96.1,404.48
2380,67.6,4200,100,93.4,412.81
2385,67.6,4200,100,97.3,408.48
2390,68.6,4200,100,93.8,406.42
2395,68.4,4200,100,94.5,411.56
2400,67.0,4200,100,92.9,408.96
2405,69.2,4200,100,95.8,404.95
2410,66.1,4200,100,98.7,411.0
2415,67.2,4200,100,97.0,412.56
2420,69.3,4200,100,95.4,408.51
2425,68.5,4200,100,92.3,408.66
2430,67.4,4200,100,93.9,406.14
2435,67.1,4200,100,92.8,411.17
2440,68.0,4200,100,94.8,411.42
2445,68.5,4200,100,96.0,416.22
2450,68.2,4200,100,95.8,408.53
2455,68.7,4200,100,97.9,401.09
2460,68.5,4200,100,92.8,411.06
2465,68.1,4200,100,92.5,405.93
2470,67.8,4200,100,100.3,406.28
2475,67.8,4200,100,94.4,409.2
2480,68.7,4200,100,99.1,409.86
2485,68.2,4200,100,94.3,414.73
2490,68.0,4200,100,96.4,409.42
2495,68.7,4200,100,94.9,407.47
2500,69.1,4200,100,91.1,410.52
2505,67.8,4200,100,93.2,416.27
2510,68.2,4200,100,94.2,407.33
2515,68.2,4200,100,95.0,409.28
2520,67.6,4200,100,98.1,410.65
2525,67.9,4200,100,92.5,407.67
2530,68.4,4200,100,93.5,411.96
2535,67.9,4200,100,95.8,411.05
2540,67.7,4200,100,94.5,409.79
2545,68.4,4200,100,99.8,412.62
2550,67.2,4200,100,99.4,409.65
2555,67.6,4200,100,95.2,409.83
2560,68.2,4200,100,94.9,409.92
2565,68.8,4200,100,98.4,410.29
2570,69.0,4200,100,96.9,413.59
2575,68.2,4200,100,95.4,412.4
2580,67.4,4200,100,95.1,406.6
2585,68.5,4200,100,95.4,411.79
2590,67.8,4200,100,93.5,412.89
2595,67.7,4200,100,94.6,410.11
2600,68.3,4200,100,95.1,406.88
2605,67.4,4200,100,97.0,409.06
2610,67.9,4200,100,93.2,412.8
2615,68.3,4200,100,93.9,404.83
2620,69.1,4200,100,93.9,406.51
2625,67.7,4200,100,92.7,409.98
2630,67.7,4200,100,92.6,412.05
2635,67.5,4200,100,91.3,411.02
2640,67.7,4200,100,92.8,405.0
2645,67.6,4200,100,93.8,408.55
2650,67.7,4200,100,97.5,413.18
2655,68.2,4200,100,96.1,408.63
2660,67.1,4200,100,96.1,414.13
2665,67.6,4200,100,93.6,407.9
2670,67.2,4200,100,96.1,406.74
2675,68.8,4200,100,98.3,410.26
2680,68.0,4200,100,93.3,412.71
2685,68.1,4200,100,92.0,407.2
2690,68.3,4200,100,94.0,411.32
2695,68.1,4200,100,97.9,409.7
2700,68.6,4200,100,97.2,413.97
2705,67.8,4200,100,95.6,417.64
2710,67.9,4200,100,93.8,410.36
2715,67.3,4200,100,93.3,408.72
2720,67.8,4200,100,97.0,406.71
2725,67.9,4200,100,95.5,409.12
2730,68.4,4200,100,99.5,406.76
2735,67.5,4200,100,94.0,408.37
2740,67.7,4200,100,95.8,415.23
2745,69.5,4200,100,94.8,403.84
2750,68.9,4200,100,95.0,408.76
2755,68.7,4200,100,94.8,409.33
2760,67.5,4200,100,96.8,412.54
2765,67.5,4200,100,93.9,413.72
2770,67.6,4200,100,94.2,407.7
2775,67.9,4200,100,96.7,410.18
2780,68.6,4200,100,96.2,403.94
2785,68.0,4200,100,95.0,405.01
2790,68.5,4200,100,94.9,408.49
2795,68.3,4200,100,96.9,412.17
2800,67.7,4200,100,94.9,417.35
2805,67.2,4200,100,95.1,410.1
2810,68.9,4200,100,96.2,410.67
2815,67.8,4200,100,97.5,410.21
2820,67.9,4200,100,95.3,412.06
2825,68.0,4200,100,95.5,412.39
2830,67.6,4200,100,94.5,410.21
2835,68.4,4200,100,96.1,408.56
2840,67.4,4200,100,94.3,408.5
2845,68.5,4200,100,96.3,410.19
2850,67.4,4200,100,92.4,410.37
2855,68.4,4200,100,95.8,409.24
2860,68.3,4200,100,91.1,413.44
2865,68.9,4200,100,95.3,410.72
2870,67.9,4200,100,96.8,407.26
2875,67.7,4200,100,95.8,405.73
2880,68.3,4200,100,95.9,409.96
2885,67.7,4200,100,98.5,408.39
2890,68.1,4200,100,96.6,409.96
2895,68.6,4200,100,95.0,410.77
2900,68.0,4200,100,96.3,408.06
2905,68.5,4200,100,97.1,406.87
2910,67.1,4200,100,92.3,407.61
2915,68.4,4200,100,95.1,415.65
2920,68.9,4200,100,91.9,408.83
2925,67.8,4200,100,98.2,412.35
2930,68.6,4200,100,93.4,416.09
2935,67.3,4200,100,95.1,407.11
2940,67.5,4200,100,95.5,407.31
2945,68.4,4200,100,96.0,410.17
2950,68.4,4200,100,97.3,413.27
2955,67.3,4200,100,96.3,412.68
2960,67.8,4200,100,94.2,413.62
2965,68.4,4200,100,95.3,414.3
2970,68.6,4200,100,98.5,408.84
2975,68.6,4200,100,91.0,408.07
2980,69.0,4200,100,93.1,409.55
2985,67.8,4200,100,96.0,413.42
2990,69.0,4200,100,94.7,411.01
2995,68.5,4200,100,97.3,409.17
3000,68.8,4200,100,92.1,410.84
3005,67.2,4200,100,94.1,407.63
3010,69.1,4200,100,98.3,412.33
3015,68.1,4200,100,91.1,404.9
3020,68.1,4200,100,96.5,411.54
3025,67.6,4200,100,93.5,411.62
3030,69.4,4200,100,96.5,409.89
3035,67.9,4200,100,95.9,410.93
3040,67.1,4200,100,98.1,411.37
3045,68.3,4200,100,94.1,413.32
3050,68.6,4200,100,93.5,413.08
3055,67.6,4200,100,91.3,412.51
3060,67.4,4200,100,93.9,407.2
3065,68.0,4200,100,94.3,410.48
3070,68.3,4200,100,98.3,411.37
3075,68.3,4200,100,96.0,412.44
3080,68.5,4200,100,95.6,406.51
3085,67.4,4200,100,95.6,409.05
3090,67.8,4200,100,94.0,407.85
3095,68.7,4200,100,96.6,406.19
3100,68.1,4200,100,95.0,408.62
3105,68.6,4200,100,95.6,410.22
3110,67.5,4200,100,96.9,410.74
3115,68.2,4200,100,93.6,414.48
3120,66.1,4200,100,92.2,405.02
3125,67.2,4200,100,92.9,408.48
3130,67.8,4200,100,95.4,414.06
3135,68.3,4200,100,95.2,409.54
3140,68.2,4200,100,96.6,407.8
3145,69.0,4200,100,95.0,412.56
3150,66.5,4200,100,95.4,408.83
3155,68.8,4200,100,97.0,410.96
3160,68.4,4200,100,94.4,407.29
3165,68.7,4200,100,92.6,408.43
3170,67.3,4200,100,93.1,408.77
3175,68.5,4200,100,93.1,412.2
3180,66.9,4200,100,93.3,407.4
3185,68.4,4200,100,97.6,403.07
3190,68.0,4200,100,98.2,410.07
3195,69.0,4200,100,97.3,410.86
3200,67.2,4200,100,93.7,414.63
3205,67.5,4200,100,92.8,408.64
3210,68.8,4200,100,95.2,405.43
3215,67.6,4200,100,96.4,413.45
3220,68.9,4200,100,96.0,411.4
3225,67.4,4200,100,93.9,405.91
3230,67.9,4200,100,95.8,410.14
3235,67.4,4200,100,96.1,412.75
3240,68.7,4200,100,90.7,402.76
3245,67.3,4200,100,96.1,413.09
3250,68.4,4200,100,95.1,410.75
3255,67.9,4200,100,93.7,407.05
3260,69.9,4200,100,94.5,411.67
3265,68.3,4200,100,96.8,409.86
3270,68.6,4200,100,99.0,408.09
3275,67.7,4200,100,93.0,408.94
3280,67.3,4200,100,95.7,412.0
3285,68.7,4200,100,97.6,408.88
3290,68.1,4200,100,93.4,410.19
3295,68.1,4200,100,96.0,409.82
3300,67.4,4200,100,97.0,409.6
3305,67.2,4200,100,91.6,412.04
3310,66.9,4200,100,96.3,414.53
3315,68.3,4200,100,96.6,411.71
3320,67.6,4200,100,95.4,404.43
3325,68.4,4200,100,96.3,410.45
3330,68.6,4200,100,94.7,404.9
3335,68.8,4200,100,95.2,408.17
3340,67.7,4200,100,94.3,410.62
3345,67.2,4200,100,95.2,408.95
3350,68.4,4200,100,94.4,411.9
3355,67.5,4200,100,95.7,409.11
3360,68.6,4200,100,95.7,413.04
3365,67.7,4200,100,93.8,409.92
3370,67.4,4200,100,94.5,413.76
3375,67.4,4200,100,93.9,410.24
3380,69.0,4200,100,99.2,408.36
3385,67.7,4200,100,95.5,408.06
3390,66.8,4200,100,96.2,411.11
3395,68.2,4200,100,96.1,410.56
3400,67.6,4200,100,96.2,409.9
3405,68.1,4200,100,92.8,410.26
3410,68.0,4200,100,93.3,407.73
3415,67.7,4200,100,95.0,408.14
3420,67.3,4200,100,95.1,406.4
3425,68.2,4200,100,93.3,409.41
3430,68.7,4200,100,90.6,406.03
3435,67.7,4200,100,94.7,407.4
3440,67.4,4200,100,93.8,407.01
3445,68.1,4200,100,93.6,409.52
3450,68.0,4200,100,96.3,408.13
3455,67.7,4200,100,95.8,403.61
3460,68.0,4200,100,93.2,412.58
3465,67.8,4200,100,93.3,413.08
3470,67.7,4200,100,93.3,411.34
3475,66.9,4200,100,94.7,412.08
3480,67.3,4200,100,96.9,409.1
3485,67.7,4200,100,91.7,414.16
3490,68.8,4200,100,94.3,411.08
3495,66.9,4200,100,95.1,411.09
3500,67.5,4200,100,93.7,409.39
3505,67.5,4200,100,91.7,412.2
3510,68.5,4200,100,96.1,412.12
3515,68.6,4200,100,94.4,401.2
