elapsed_s,tank_top,tank_bottom,hx_hot_in,hx_hot_out,hx_cold_in,hx_cold_out,room
600,24.18,23.61,35.9,31.9,23.9,26.9,22.0
605,24.18,23.57,35.91,31.91,23.91,26.91,22.0
610,24.2,23.59,35.93,31.93,23.93,26.93,22.0
615,24.25,23.69,35.94,31.94,23.94,26.94,22.0
620,24.28,23.69,35.96,31.96,23.96,26.96,22.0
625,24.3,23.66,35.97,31.97,23.97,26.97,22.0
630,24.19,23.62,35.99,31.99,23.99,26.99,22.0
635,24.26,23.73,36.0,32.0,24.0,27.0,22.0
640,24.34,23.73,36.01,32.01,24.01,27.01,22.0
645,24.38,23.7,36.03,32.03,24.03,27.03,22.0
650,24.34,23.76,36.04,32.04,24.04,27.04,22.0
655,24.35,23.73,36.06,32.06,24.06,27.06,22.0
660,24.29,23.77,36.07,32.07,24.07,27.07,22.0
665,24.42,23.69,36.09,32.09,24.09,27.09,22.0
670,24.4,23.83,36.1,32.1,24.1,27.1,22.0
675,24.45,23.85,36.12,32.12,24.12,27.12,22.0
680,24.41,23.86,36.13,32.13,24.13,27.13,22.0
685,24.48,23.88,36.14,32.14,24.14,27.14,22.0
690,24.44,23.87,36.16,32.16,24.16,27.16,22.0
695,24.48,23.85,36.17,32.17,24.17,27.17,22.0
700,24.45,23.92,36.19,32.19,24.19,27.19,22.0
705,24.45,23.94,36.2,32.2,24.2,27.2,22.0
710,24.45,23.91,36.22,32.22,24.22,27.22,22.0
715,24.53,23.91,36.23,32.23,24.23,27.23,22.0
720,24.6,23.93,36.24,32.24,24.24,27.24,22.0
725,24.56,23.93,36.26,32.26,24.26,27.26,22.0
730,24.49,23.99,36.27,32.27,24.27,27.27,22.0
735,24.56,24.05,36.29,32.29,24.29,27.29,22.0
740,24.64,23.96,36.3,32.3,24.3,27.3,22.0
745,24.54,24.0,36.32,32.32,24.32,27.32,22.0
750,24.66,24.01,36.33,32.33,24.33,27.33,22.0
755,24.72,24.03,36.34,32.34,24.34,27.34,22.0
760,24.63,24.08,36.36,32.36,24.36,27.36,22.0
765,24.67,24.12,36.37,32.37,24.37,27.37,22.0
770,24.67,24.04,36.39,32.39,24.39,27.39,22.0
775,24.72,24.11,36.4,32.4,24.4,27.4,22.0
780,24.73,24.11,36.41,32.41,24.41,27.41,22.0
785,24.82,24.06,36.43,32.43,24.43,27.43,22.0
790,24.69,24.09,36.44,32.44,24.44,27.44,22.0
795,24.81,24.08,36.46,32.46,24.46,27.46,22.0
800,24.75,24.09,36.47,32.47,24.47,27.47,22.0
805,24.82,24.17,36.48,32.48,24.48,27.48,22.0
810,24.73,24.24,36.5,32.5,24.5,27.5,22.0
815,24.79,24.16,36.51,32.51,24.51,27.51,22.0
820,24.84,24.22,36.53,32.53,24.53,27.53,22.0
825,24.85,24.26,36.54,32.54,24.54,27.54,22.0
830,24.79,24.35,36.55,32.55,24.55,27.55,22.0
835,24.95,24.26,36.57,32.57,24.57,27.57,22.0
840,24.78,24.34,36.58,32.58,24.58,27.58,22.0
845,24.86,24.35,36.59,32.59,24.59,27.59,22.0
850,24.9,24.26,36.61,32.61,24.61,27.61,22.0
855,24.89,24.21,36.62,32.62,24.62,27.62,22.0
860,24.88,24.4,36.64,32.64,24.64,27.64,22.0
865,25.05,24.4,36.65,32.65,24.65,27.65,22.0
870,24.92,24.37,36.66,32.66,24.66,27.66,22.0
875,25.0,24.37,36.68,32.68,24.68,27.68,22.0
880,24.87,24.38,36.69,32.69,24.69,27.69,22.0
885,24.98,24.43,36.7,32.7,24.7,27.7,22.0
890,24.95,24.44,36.72,32.72,24.72,27.72,22.0
895,25.02,24.55,36.73,32.73,24.73,27.73,22.0
900,25.12,24.4,36.74,32.74,24.74,27.74,22.0
905,25.01,24.45,36.76,32.76,24.76,27.76,22.0
910,25.08,24.52,36.77,32.77,24.77,27.77,22.0
915,25.04,24.49,36.79,32.79,24.79,27.79,22.0
920,25.09,24.5,36.8,32.8,24.8,27.8,22.0
925,25.14,24.43,36.81,32.81,24.81,27.81,22.0
930,25.13,24.5,36.83,32.83,24.83,27.83,22.0
935,25.13,24.57,36.84,32.84,24.84,27.84,22.0
940,25.03,24.5,36.85,32.85,24.85,27.85,22.0
945,25.11,24.64,36.87,32.87,24.87,27.87,22.0
950,25.25,24.6,36.88,32.88,24.88,27.88,22.0
955,25.16,24.62,36.89,32.89,24.89,27.89,22.0
960,25.16,24.52,36.91,32.91,24.91,27.91,22.0
965,25.27,24.6,36.92,32.92,24.92,27.92,22.0
970,25.18,24.63,36.93,32.93,24.93,27.93,22.0
975,25.31,24.67,36.95,32.95,24.95,27.95,22.0
980,25.25,24.55,36.96,32.96,24.96,27.96,22.0
985,25.29,24.73,36.97,32.97,24.97,27.97,22.0
990,25.3,24.65,36.99,32.99,24.99,27.99,22.0
995,25.29,24.75,37.0,33.0,25.0,28.0,22.0
1000,25.27,24.62,37.01,33.01,25.01,28.01,22.0
1005,25.31,24.79,37.03,33.03,25.03,28.03,22.0
1010,25.46,24.71,37.04,33.04,25.04,28.04,22.0
1015,25.38,24.71,37.05,33.05,25.05,28.05,22.0
1020,25.35,24.71,37.07,33.07,25.07,28.07,22.0
1025,25.33,24.77,37.08,33.08,25.08,28.08,22.0
1030,25.48,24.79,37.09,33.09,25.09,28.09,22.0
1035,25.39,24.8,37.1,33.1,25.1,28.1,22.0
1040,25.37,24.91,37.12,33.12,25.12,28.12,22.0
1045,25.52,24.89,37.13,33.13,25.13,28.13,22.0
1050,25.42,24.85,37.14,33.14,25.14,28.14,22.0
1055,25.37,24.87,37.16,33.16,25.16,28.16,22.0
1060,25.53,24.89,37.17,33.17,25.17,28.17,22.0
1065,25.46,24.83,37.18,33.18,25.18,28.18,22.0
1070,25.48,24.96,37.2,33.2,25.2,28.2,22.0
1075,25.49,24.9,37.21,33.21,25.21,28.21,22.0
1080,25.6,24.86,37.22,33.22,25.22,28.22,22.0
1085,25.43,24.91,37.24,33.24,25.24,28.24,22.0
1090,25.54,24.94,37.25,33.25,25.25,28.25,22.0
1095,25.63,24.93,37.26,33.26,25.26,28.26,22.0
1100,25.58,24.98,37.27,33.27,25.27,28.27,22.0
1105,25.59,24.94,37.29,33.29,25.29,28.29,22.0
1110,25.65,25.06,37.3,33.3,25.3,28.3,22.0
1115,25.52,24.98,37.31,33.31,25.31,28.31,22.0
1120,25.58,24.99,37.33,33.33,25.33,28.33,22.0
1125,25.57,25.18,37.34,33.34,25.34,28.34,22.0
1130,25.67,25.05,37.35,33.35,25.35,28.35,22.0
1135,25.75,25.06,37.36,33.36,25.36,28.36,22.0
1140,25.68,25.16,37.38,33.38,25.38,28.38,22.0
1145,25.65,25.03,37.39,33.39,25.39,28.39,22.0
1150,25.73,25.07,37.4,33.4,25.4,28.4,22.0
1155,25.74,25.06,37.42,33.42,25.42,28.42,22.0
1160,25.63,25.22,37.43,33.43,25.43,28.43,22.0
1165,25.8,25.17,37.44,33.44,25.44,28.44,22.0
1170,25.76,25.14,37.45,33.45,25.45,28.45,22.0
1175,25.8,25.12,37.47,33.47,25.47,28.47,22.0
1180,25.74,25.16,37.48,33.48,25.48,28.48,22.0
1185,25.79,25.16,37.49,33.49,25.49,28.49,22.0
1190,25.76,25.21,37.5,33.5,25.5,28.5,22.0
1195,25.78,25.21,37.52,33.52,25.52,28.52,22.0
1200,25.82,25.23,37.53,33.53,25.53,28.53,22.0
1205,25.79,25.19,37.54,33.54,25.54,28.54,22.0
1210,25.88,25.29,37.55,33.55,25.55,28.55,22.0
1215,25.78,25.3,37.57,33.57,25.57,28.57,22.0
1220,25.95,25.28,37.58,33.58,25.58,28.58,22.0
1225,25.9,25.24,37.59,33.59,25.59,28.59,22.0
1230,26.0,25.24,37.6,33.6,25.6,28.6,22.0
1235,25.99,25.31,37.62,33.62,25.62,28.62,22.0
1240,25.96,25.35,37.63,33.63,25.63,28.63,22.0
1245,25.95,25.41,37.64,33.64,25.64,28.64,22.0
1250,25.92,25.4,37.65,33.65,25.65,28.65,22.0
1255,25.97,25.34,37.67,33.67,25.67,28.67,22.0
1260,26.01,25.39,37.68,33.68,25.68,28.68,22.0
1265,25.97,25.36,37.69,33.69,25.69,28.69,22.0
1270,26.06,25.38,37.7,33.7,25.7,28.7,22.0
1275,25.96,25.4,37.72,33.72,25.72,28.72,22.0
1280,26.09,25.46,37.73,33.73,25.73,28.73,22.0
1285,25.97,25.4,37.74,33.74,25.74,28.74,22.0
1290,26.0,25.54,37.75,33.75,25.75,28.75,22.0
1295,25.99,25.51,37.77,33.77,25.77,28.77,22.0
1300,26.14,25.48,37.78,33.78,25.78,28.78,22.0
1305,26.12,25.48,37.79,33.79,25.79,28.79,22.0
1310,26.11,25.5,37.8,33.8,25.8,28.8,22.0
1315,26.05,25.58,37.81,33.81,25.81,28.81,22.0
1320,26.14,25.6,37.83,33.83,25.83,28.83,22.0
1325,26.15,25.5,37.84,33.84,25.84,28.84,22.0
1330,26.2,25.51,37.85,33.85,25.85,28.85,22.0
1335,26.12,25.59,37.86,33.86,25.86,28.86,22.0
1340,26.22,25.66,37.88,33.88,25.88,28.88,22.0
1345,26.2,25.56,37.89,33.89,25.89,28.89,22.0
1350,26.23,25.61,37.9,33.9,25.9,28.9,22.0
1355,26.17,25.64,37.91,33.91,25.91,28.91,22.0
1360,26.3,25.59,37.92,33.92,25.92,28.92,22.0
1365,26.29,25.73,37.94,33.94,25.94,28.94,22.0
1370,26.37,25.62,37.95,33.95,25.95,28.95,22.0
1375,26.19,25.66,37.96,33.96,25.96,28.96,22.0
1380,26.3,25.65,37.97,33.97,25.97,28.97,22.0
1385,26.33,25.68,37.98,33.98,25.98,28.98,22.0
1390,26.27,25.73,38.0,34.0,26.0,29.0,22.0
1395,26.29,25.63,38.01,34.01,26.01,29.01,22.0
1400,26.32,25.76,38.02,34.02,26.02,29.02,22.0
1405,26.42,25.73,38.03,34.03,26.03,29.03,22.0
1410,26.33,25.84,38.04,34.04,26.04,29.04,22.0
1415,26.34,25.71,38.06,34.06,26.06,29.06,22.0
1420,26.44,25.74,38.07,34.07,26.07,29.07,22.0
1425,26.36,25.89,38.08,34.08,26.08,29.08,22.0
1430,26.34,25.86,38.09,34.09,26.09,29.09,22.0
1435,26.35,25.81,38.1,34.1,26.1,29.1,22.0
1440,26.43,25.87,38.12,34.12,26.12,29.12,22.0
1445,26.38,25.82,38.13,34.13,26.13,29.13,22.0
1450,26.45,25.9,38.14,34.14,26.14,29.14,22.0
1455,26.4,25.88,38.15,34.15,26.15,29.15,22.0
1460,26.47,25.75,38.16,34.16,26.16,29.16,22.0
1465,26.41,25.87,38.17,34.17,26.17,29.17,22.0
1470,26.51,25.91,38.19,34.19,26.19,29.19,22.0
1475,26.45,25.94,38.2,34.2,26.2,29.2,22.0
1480,26.52,25.97,38.21,34.21,26.21,29.21,22.0
1485,26.52,25.84,38.22,34.22,26.22,29.22,22.0
1490,26.57,25.88,38.23,34.23,26.23,29.23,22.0
1495,26.55,25.87,38.24,34.24,26.24,29.24,22.0
1500,26.61,26.0,38.26,34.26,26.26,29.26,22.0
1505,26.55,25.93,38.27,34.27,26.27,29.27,22.0
1510,26.59,25.93,38.28,34.28,26.28,29.28,22.0
1515,26.65,25.91,38.29,34.29,26.29,29.29,22.0
1520,26.52,26.05,38.3,34.3,26.3,29.3,22.0
1525,26.62,26.05,38.31,34.31,26.31,29.31,22.0
1530,26.64,26.01,38.33,34.33,26.33,29.33,22.0
1535,26.6,25.96,38.34,34.34,26.34,29.34,22.0
1540,26.61,26.05,38.35,34.35,26.35,29.35,22.0
1545,26.71,26.07,38.36,34.36,26.36,29.36,22.0
1550,26.63,26.11,38.37,34.37,26.37,29.37,22.0
1555,26.7,26.12,38.38,34.38,26.38,29.38,22.0
1560,26.7,26.12,38.4,34.4,26.4,29.4,22.0
1565,26.65,26.19,38.41,34.41,26.41,29.41,22.0
1570,26.76,26.07,38.42,34.42,26.42,29.42,22.0
1575,26.7,26.07,38.43,34.43,26.43,29.43,22.0
1580,26.69,26.11,38.44,34.44,26.44,29.44,22.0
1585,26.73,26.11,38.45,34.45,26.45,29.45,22.0
1590,26.75,26.2,38.46,34.46,26.46,29.46,22.0
1595,26.71,26.23,38.48,34.48,26.48,29.48,22.0
1600,26.87,26.21,38.49,34.49,26.49,29.49,22.0
1605,26.82,26.13,38.5,34.5,26.5,29.5,22.0
1610,26.8,26.19,38.51,34.51,26.51,29.51,22.0
1615,26.8,26.24,38.52,34.52,26.52,29.52,22.0
1620,26.78,26.23,38.53,34.53,26.53,29.53,22.0
1625,26.73,26.33,38.54,34.54,26.54,29.54,22.0
1630,26.77,26.31,38.56,34.56,26.56,29.56,22.0
1635,26.85,26.3,38.57,34.57,26.57,29.57,22.0
1640,26.84,26.31,38.58,34.58,26.58,29.58,22.0
1645,26.87,26.29,38.59,34.59,26.59,29.59,22.0
1650,26.82,26.2,38.6,34.6,26.6,29.6,22.0
1655,26.98,26.37,38.61,34.61,26.61,29.61,22.0
1660,26.9,26.34,38.62,34.62,26.62,29.62,22.0
1665,26.95,26.2,38.63,34.63,26.63,29.63,22.0
1670,26.93,26.26,38.65,34.65,26.65,29.65,22.0
1675,27.01,26.28,38.66,34.66,26.66,29.66,22.0
1680,26.91,26.38,38.67,34.67,26.67,29.67,22.0
1685,27.05,26.42,38.68,34.68,26.68,29.68,22.0
1690,27.09,26.32,38.69,34.69,26.69,29.69,22.0
1695,27.05,26.38,38.7,34.7,26.7,29.7,22.0
1700,27.01,26.36,38.71,34.71,26.71,29.71,22.0
1705,27.04,26.4,38.72,34.72,26.72,29.72,22.0
1710,27.06,26.45,38.73,34.73,26.73,29.73,22.0
1715,27.04,26.48,38.75,34.75,26.75,29.75,22.0
1720,26.97,26.46,38.76,34.76,26.76,29.76,22.0
1725,26.96,26.45,38.77,34.77,26.77,29.77,22.0
1730,27.08,26.48,38.78,34.78,26.78,29.78,22.0
1735,27.06,26.56,38.79,34.79,26.79,29.79,22.0
1740,27.1,26.51,38.8,34.8,26.8,29.8,22.0
1745,27.09,26.61,38.81,34.81,26.81,29.81,22.0
1750,27.12,26.55,38.82,34.82,26.82,29.82,22.0
1755,27.12,26.59,38.83,34.83,26.83,29.83,22.0
1760,27.16,26.47,38.84,34.84,26.84,29.84,22.0
1765,27.19,26.51,38.85,34.85,26.85,29.85,22.0
1770,27.17,26.6,38.87,34.87,26.87,29.87,22.0
1775,27.24,26.6,38.88,34.88,26.88,29.88,22.0
1780,27.17,26.63,38.89,34.89,26.89,29.89,22.0
1785,27.19,26.61,38.9,34.9,26.9,29.9,22.0
1790,27.19,26.63,38.91,34.91,26.91,29.91,22.0
1795,27.28,26.71,38.92,34.92,26.92,29.92,22.0
1800,27.26,26.7,38.93,34.93,26.93,29.93,22.0
1805,27.2,26.65,38.94,34.94,26.94,29.94,22.0
1810,27.31,26.64,38.95,34.95,26.95,29.95,22.0
1815,27.29,26.65,38.96,34.96,26.96,29.96,22.0
1820,27.24,26.66,38.97,34.97,26.97,29.97,22.0
1825,27.29,26.67,38.98,34.98,26.98,29.98,22.0
1830,27.3,26.82,39.0,35.0,27.0,30.0,22.0
1835,27.25,26.69,39.01,35.01,27.01,30.01,22.0
1840,27.25,26.84,39.02,35.02,27.02,30.02,22.0
1845,27.39,26.72,39.03,35.03,27.03,30.03,22.0
1850,27.31,26.74,39.04,35.04,27.04,30.04,22.0
1855,27.32,26.76,39.05,35.05,27.05,30.05,22.0
1860,27.31,26.74,39.06,35.06,27.06,30.06,22.0
1865,27.42,26.72,39.07,35.07,27.07,30.07,22.0
1870,27.41,26.71,39.08,35.08,27.08,30.08,22.0
1875,27.39,26.85,39.09,35.09,27.09,30.09,22.0
1880,27.37,26.85,39.1,35.1,27.1,30.1,22.0
1885,27.5,26.86,39.11,35.11,27.11,30.11,22.0
1890,27.54,26.8,39.12,35.12,27.12,30.12,22.0
1895,27.44,26.85,39.13,35.13,27.13,30.13,22.0
1900,27.35,26.86,39.14,35.14,27.14,30.14,22.0
1905,27.4,26.81,39.16,35.16,27.16,30.16,22.0
1910,27.48,26.87,39.17,35.17,27.17,30.17,22.0
1915,27.53,26.85,39.18,35.18,27.18,30.18,22.0
1920,27.43,26.9,39.19,35.19,27.19,30.19,22.0
1925,27.45,26.92,39.2,35.2,27.2,30.2,22.0
1930,27.54,26.93,39.21,35.21,27.21,30.21,22.0
1935,27.52,26.94,39.22,35.22,27.22,30.22,22.0
1940,27.46,26.96,39.23,35.23,27.23,30.23,22.0
1945,27.61,26.89,39.24,35.24,27.24,30.24,22.0
1950,27.56,26.91,39.25,35.25,27.25,30.25,22.0
1955,27.54,26.94,39.26,35.26,27.26,30.26,22.0
1960,27.55,27.01,39.27,35.27,27.27,30.27,22.0
1965,27.46,26.9,39.28,35.28,27.28,30.28,22.0
1970,27.62,27.0,39.29,35.29,27.29,30.29,22.0
1975,27.52,27.02,39.3,35.3,27.3,30.3,22.0
1980,27.63,26.98,39.31,35.31,27.31,30.31,22.0
1985,27.74,27.02,39.32,35.32,27.32,30.32,22.0
1990,27.67,27.07,39.33,35.33,27.33,30.33,22.0
1995,27.64,27.07,39.34,35.34,27.34,30.34,22.0
2000,27.63,27.0,39.35,35.35,27.35,30.35,22.0
2005,27.63,27.1,39.36,35.36,27.36,30.36,22.0
2010,27.76,27.02,39.37,35.37,27.37,30.37,22.0
2015,27.77,27.11,39.38,35.38,27.38,30.38,22.0
2020,27.71,27.13,39.39,35.39,27.39,30.39,22.0
2025,27.64,27.11,39.4,35.4,27.4,30.4,22.0
2030,27.69,27.11,39.41,35.41,27.41,30.41,22.0
2035,27.81,27.11,39.42,35.42,27.42,30.42,22.0
2040,27.63,27.05,39.43,35.43,27.43,30.43,22.0
2045,27.81,27.14,39.45,35.45,27.45,30.45,22.0
2050,27.69,27.18,39.46,35.46,27.46,30.46,22.0
2055,27.76,27.15,39.47,35.47,27.47,30.47,22.0
2060,27.76,27.12,39.48,35.48,27.48,30.48,22.0
2065,27.76,27.17,39.49,35.49,27.49,30.49,22.0
2070,27.86,27.21,39.5,35.5,27.5,30.5,22.0
2075,27.78,27.29,39.51,35.51,27.51,30.51,22.0
2080,27.88,27.2,39.52,35.52,27.52,30.52,22.0
2085,27.86,27.21,39.53,35.53,27.53,30.53,22.0
2090,27.81,27.27,39.54,35.54,27.54,30.54,22.0
2095,27.84,27.26,39.55,35.55,27.55,30.55,22.0
2100,27.8,27.28,39.56,35.56,27.56,30.56,22.0
2105,27.91,27.26,39.57,35.57,27.57,30.57,22.0
2110,27.87,27.4,39.58,35.58,27.58,30.58,22.0
2115,27.89,27.27,39.59,35.59,27.59,30.59,22.0
2120,27.89,27.34,39.6,35.6,27.6,30.6,22.0
2125,27.91,27.26,39.61,35.61,27.61,30.61,22.0
2130,27.99,27.28,39.62,35.62,27.62,30.62,22.0
2135,27.99,27.25,39.63,35.63,27.63,30.63,22.0
2140,27.91,27.28,39.64,35.64,27.64,30.64,22.0
2145,27.97,27.33,39.65,35.65,27.65,30.65,22.0
2150,27.9,27.33,39.66,35.66,27.66,30.66,22.0
2155,27.95,27.43,39.67,35.67,27.67,30.67,22.0
2160,27.99,27.45,39.68,35.68,27.68,30.68,22.0
2165,28.03,27.45,39.69,35.69,27.69,30.69,22.0
2170,27.91,27.3,39.7,35.7,27.7,30.7,22.0
2175,27.95,27.35,39.71,35.71,27.71,30.71,22.0
2180,27.95,27.36,39.72,35.72,27.72,30.72,22.0
2185,27.96,27.31,39.72,35.72,27.72,30.72,22.0
2190,28.1,27.38,39.73,35.73,27.73,30.73,22.0
2195,28.06,27.45,39.74,35.74,27.74,30.74,22.0
2200,28.08,27.35,39.75,35.75,27.75,30.75,22.0
2205,28.1,27.55,39.76,35.76,27.76,30.76,22.0
2210,28.13,27.48,39.77,35.77,27.77,30.77,22.0
2215,28.09,27.59,39.78,35.78,27.78,30.78,22.0
2220,28.13,27.52,39.79,35.79,27.79,30.79,22.0
2225,28.14,27.45,39.8,35.8,27.8,30.8,22.0
2230,28.15,27.46,39.81,35.81,27.81,30.81,22.0
2235,28.16,27.55,39.82,35.82,27.82,30.82,22.0
2240,28.09,27.49,39.83,35.83,27.83,30.83,22.0
2245,28.21,27.54,39.84,35.84,27.84,30.84,22.0
2250,28.09,27.58,39.85,35.85,27.85,30.85,22.0
2255,28.13,27.59,39.86,35.86,27.86,30.86,22.0
2260,28.16,27.62,39.87,35.87,27.87,30.87,22.0
2265,28.23,27.57,39.88,35.88,27.88,30.88,22.0
